Altitude,Latitude,Longitude,PixelX,PixelY,Ylatitude
120.63802337646484,47.640718427371446,-122.138385750991,0,0,47.64146792777959
222.53517150878906,47.63749252588784,-122.14016490837285,349,215,47.63749252588784
224.43408203125,47.637492527072816,-122.14016490836703,349,216,47.637492527072816
224.43470764160156,47.6374925270732,-122.14016490836687,255,216,47.6374925270732
224.73907470703125,47.637492527263134,-122.14016490836707,255,217,47.637492527263134
225.41358947753906,47.63749252768405,-122.14016490836774,255,217,47.63749252768405
226.08383178710938,47.6374925281023,-122.14016490836845,255,218,47.6374925281023
226.48007202148438,47.63749252834957,-122.14016490836877,255,218,47.63749252834957
227.04644775390625,47.637492528703,-122.14016490836912,255,218,47.637492528703
227.43527221679688,47.63749252894564,-122.14016490836924,255,219,47.63749252894564
227.86483764648438,47.637492529213695,-122.14016490836931,255,219,47.637492529213695
228.4628143310547,47.63749252958685,-122.14016490836924,255,219,47.63749252958685
228.97291564941406,47.63749252990517,-122.14016490836903,255,220,47.63749252990517
229.4390106201172,47.63749253019602,-122.14016490836873,255,220,47.63749253019602
229.9884490966797,47.63749253053889,-122.14016490836825,255,220,47.63749253053889
230.41026306152344,47.63749253080212,-122.14016490836774,255,221,47.63749253080212
230.99989318847656,47.637492531170054,-122.1401649083669,255,221,47.637492531170054
231.3786163330078,47.63749253140639,-122.14016490836623,255,222,47.63749253140639
231.967041015625,47.63749253177359,-122.1401649083651,255,222,47.63749253177359
232.47105407714844,47.637492532088096,-122.14016490836394,255,222,47.637492532088096
232.8908233642578,47.637492532350045,-122.1401649083629,255,223,47.637492532350045
233.4365234375,47.63749253269059,-122.1401649083614,255,223,47.63749253269059
233.89810180664062,47.63749253297861,-122.14016490836,255,223,47.63749253297861
234.44309997558594,47.63749253331871,-122.14016490835822,255,224,47.63749253331871
235.07196044921875,47.637492533711125,-122.14016490835596,255,224,47.637492533711125
235.36541748046875,47.63749253389427,-122.1401649083548,255,224,47.63749253389427
235.9523468017578,47.63749253426052,-122.14016490835242,255,225,47.63749253426052
236.45542907714844,47.63749253457445,-122.1401649083502,255,225,47.63749253457445
236.7908172607422,47.63749253478374,-122.14016490834868,255,225,47.63749253478374
237.33583068847656,47.63749253512384,-122.14016490834604,255,222,47.63749253512384
237.75506591796875,47.637492535385455,-122.14016490834392,255,226,47.637492535385455
238.25814819335938,47.637492535699394,-122.14016490834122,255,226,47.637492535699394
238.76123046875,47.637492536013326,-122.14016490833842,255,227,47.637492536013326
239.13853454589844,47.637492536248764,-122.14016490833622,255,227,47.637492536248764
239.6835479736328,47.637492536588866,-122.1401649083329,255,227,47.637492536588866
240.18663024902344,47.63749253690281,-122.14016490832972,255,228,47.63749253690281
240.98316955566406,47.63749253739987,-122.14016490832438,255,228,47.63749253739987
241.52818298339844,47.637492537739966,-122.14016490832054,255,229,47.637492537739966
241.90548706054688,47.63749253797543,-122.14016490831779,255,229,47.63749253797543
242.45050048828125,47.63749253831551,-122.14016490831366,255,229,47.63749253831551
243.0374298095703,47.63749253868177,-122.14016490830909,255,230,47.63749253868177
243.37281799316406,47.63749253889107,-122.14016490830636,255,230,47.63749253889107
243.91781616210938,47.63749253923116,-122.14016490830184,255,230,47.63749253923116
244.29513549804688,47.637492539466606,-122.1401649082986,255,231,47.637492539466606
244.7982177734375,47.63749253978055,-122.14016490829421,255,231,47.63749253978055
245.30130004882812,47.637492540094485,-122.14016490828965,255,231,47.637492540094485
245.8882293701172,47.63749254046074,-122.14016490828415,255,232,47.63749254046074
246.5590057373047,47.637492540879315,-122.14016490827767,255,232,47.637492540879315
246.97824096679688,47.63749254114094,-122.14016490827349,255,233,47.63749254114094
247.56517028808594,47.63749254150719,-122.14016490826751,255,233,47.63749254150719
247.94247436523438,47.637492541742645,-122.14016490826354,255,233,47.637492541742645
249.66134643554688,47.63749254281525,-122.14016490824461,255,235,47.63749254281525
250.3317108154297,47.63749254323358,-122.14016490823677,255,235,47.63749254323358
250.7085418701172,47.63749254346873,-122.14016490823226,255,235,47.63749254346873
251.2528533935547,47.63749254380839,-122.14016490822566,255,236,47.63749254380839
251.6715545654297,47.637492544069666,-122.14016490822044,255,236,47.637492544069666
252.2577362060547,47.63749254443546,-122.14016490821301,255,236,47.63749254443546
252.7183074951172,47.63749254472287,-122.14016490820703,255,237,47.63749254472287
253.2626190185547,47.63749254506253,-122.14016490819984,255,237,47.63749254506253
253.7231903076172,47.637492545349936,-122.1401649081936,255,237,47.637492545349936
254.3931121826172,47.637492545767984,-122.14016490818436,255,238,47.637492545767984
254.8118133544922,47.63749254602926,-122.14016490817882,255,238,47.63749254602926
255.3561248779297,47.637492546368925,-122.14016490817245,255,239,47.637492546368925
255.8166961669922,47.637492546656325,-122.14016490816797,255,239,47.637492546656325
256.36102294921875,47.637492546995986,-122.14016490816401,255,239,47.637492546995986
256.69598388671875,47.63749254720501,-122.14016490816238,255,240,47.63749254720501
257.28216552734375,47.6374925475708,-122.14016490816128,255,240,47.6374925475708
257.70086669921875,47.63749254783208,-122.14016490816196,255,240,47.63749254783208
258.28704833984375,47.637492548197876,-122.14016490816469,255,241,47.637492548197876
258.66387939453125,47.637492548433016,-122.14016490816691,255,241,47.637492548433016
259.20819091796875,47.637492548772684,-122.14016490816972,255,241,47.637492548772684
259.62689208984375,47.63749254903396,-122.14016490817139,255,242,47.63749254903396
260.21307373046875,47.63749254939975,-122.14016490817306,255,242,47.63749254939975
260.63177490234375,47.637492549661026,-122.14016490817393,255,242,47.637492549661026
261.17608642578125,47.63749255000069,-122.14016490817477,255,242,47.63749255000069
261.55291748046875,47.63749255023583,-122.14016490817522,255,243,47.63749255023583
262.13909912109375,47.637492550601614,-122.14016490817586,255,243,47.637492550601614
262.55780029296875,47.6374925508629,-122.14016490817619,255,244,47.6374925508629
263.18585205078125,47.63749255125482,-122.14016490817647,255,244,47.63749255125482
263.68829345703125,47.63749255156836,-122.14016490817657,255,245,47.63749255156836
264.19073486328125,47.63749255188189,-122.14016490817652,255,245,47.63749255188189
264.73504638671875,47.63749255222155,-122.14016490817642,255,245,47.63749255222155
264.90252685546875,47.637492552326066,-122.14016490817642,255,246,47.637492552326066
265.36309814453125,47.637492552613466,-122.1401649081764,255,246,47.637492552613466
265.86553955078125,47.637492552927,-122.14016490817652,255,246,47.637492552927
266.20050048828125,47.63749255313603,-122.14016490817676,255,246,47.63749255313603
266.82855224609375,47.637492553527935,-122.14016490817738,255,247,47.637492553527935
267.12164306640625,47.63749255371083,-122.1401649081777,255,247,47.63749255371083
267.54034423828125,47.63749255397211,-122.14016490817805,255,247,47.63749255397211
268.04278564453125,47.63749255428564,-122.14016490817835,255,248,47.63749255428564
268.41961669921875,47.63749255452079,-122.1401649081785,255,248,47.63749255452079
268.96392822265625,47.63749255486046,-122.14016490817869,255,248,47.63749255486046
269.42449951171875,47.63749255514786,-122.14016490817876,255,249,47.63749255514786
269.96881103515625,47.63749255548751,-122.14016490817886,255,249,47.63749255548751
270.47125244140625,47.637492555801046,-122.14016490817895,255,249,47.637492555801046
271.05743408203125,47.63749255616684,-122.14016490817909,255,250,47.63749255616684
271.43426513671875,47.63749255640199,-122.14016490817922,255,250,47.63749255640199
271.97857666015625,47.63749255674165,-122.14016490817953,255,250,47.63749255674165
272.43914794921875,47.637492557029056,-122.14016490817988,255,251,47.637492557029056
272.94158935546875,47.63749255734258,-122.1401649081804,255,251,47.63749255734258
273.48590087890625,47.637492557682236,-122.14016490818098,255,252,47.637492557682236
