,Model 1,,,,,,
Min,Im,Max,IM,,Min & Max distances in m.,,
208.78,98,280.91,1,,Im = Min distance Index.,,
560.36,100,691.23,1,,IM = Max distance Index.,,
29.82,1,69.58,100,,,,
70.32,98,70.34,1,,,,
25.79,100,102.87,3,,,,
,,,,,,,
,Model 2,,,,,,
Min,Im,Max,IM,,,,
123.15,98,186.89,1,,,,
371.95,100,411.08,1,,,,
70.24,5,111.75,1,,,,
70.25,5,70.25,99,,,,
183.29,82,189.68,5,,,,
